Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
"Bennett M.T., Gong Y., Scarpa R.","8878358300;35519797200;7101679887;","Hungry Birds and Angry Farmers: Using Choice Experiments to Assess “Eco-compensation” for Coastal Wetlands Protection in China",2018,"Ecological Economics","154",,,"71","87",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051106858&doi=10.1016%2fj.ecolecon.2018.07.016&partnerID=40&md5=dde33c3cd2b413707b577d7403c4c0e9",Article,Scopus,2-s2.0-85051106858
"Rubino E.C., Pienaar E.F., Soto J.R.","57193898396;55587553100;57072675900;","Structuring Legal Trade in Rhino Horn to Incentivize the Participation of South African Private Landowners",2018,"Ecological Economics","154",,,"306","316",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052133553&doi=10.1016%2fj.ecolecon.2018.08.012&partnerID=40&md5=9912aaea37bb21ffd07a05b069cd1951",Article,Scopus,2-s2.0-85052133553
"Sheremet O., Ruokamo E., Juutinen A., Svento R., Hanley N.","25957766500;57190136343;35609993800;56032109800;7005750378;","Incentivising Participation and Spatial Coordination in Payment for Ecosystem Service Schemes: Forest Disease Control Programs in Finland",2018,"Ecological Economics","152",,,"260","272",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048813355&doi=10.1016%2fj.ecolecon.2018.06.004&partnerID=40&md5=2752eb4ef2d1cb1caa62203d41f59363",Article,Scopus,2-s2.0-85048813355
"Printezis I., Grebitus C.","57189240981;26664526400;","Marketing Channels for Local Food",2018,"Ecological Economics","152",,,"161","171",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048624826&doi=10.1016%2fj.ecolecon.2018.05.021&partnerID=40&md5=55116c7b93cffe1eb518830bfcf8a94e",Article,Scopus,2-s2.0-85048624826
"Eggert H., Kataria M., Lampi E.","7006132452;26648777400;6507663510;","Difference in Preferences or Multiple Preference Orderings? Comparing Choices of Environmental Bureaucrats, Recreational Anglers, and the Public",2018,"Ecological Economics","151",,,"131","141",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047246943&doi=10.1016%2fj.ecolecon.2018.04.034&partnerID=40&md5=4f6d5978f495ef3b678474ba766ac2d9",Article,Scopus,2-s2.0-85047246943
"Quynh C.N.T., Schilizzi S., Hailu A., Iftekhar S.","57201976466;6603084455;7003570203;57201994432;","Fishers' Preference Heterogeneity and Trade-offs Between Design Options for More Effective Monitoring of Fisheries",2018,"Ecological Economics","151",,,"22","33",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046624397&doi=10.1016%2fj.ecolecon.2018.04.032&partnerID=40&md5=b37fcf1cf7eb5419ed49325336f7f178",Article,Scopus,2-s2.0-85046624397
"Grilli G., Notaro S., Campbell D.","56417521300;35091280600;56857858800;","Including Value Orientations in Choice Models to Estimate Benefits of Wildlife Management Policies",2018,"Ecological Economics","151",,,"70","81",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047013615&doi=10.1016%2fj.ecolecon.2018.04.035&partnerID=40&md5=fc1d8a8d8d9c0e1488fa31281df06357",Article,Scopus,2-s2.0-85047013615
"Bae J.H., Rishi M.","36645616200;6602459300;","Increasing consumer participation rates for green pricing programs: A choice experiment for South Korea",2018,"Energy Economics","74",,,"490","502",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049959406&doi=10.1016%2fj.eneco.2018.06.027&partnerID=40&md5=a506070f05a7de11d58660957f70769f",Article,Scopus,2-s2.0-85049959406
"Waldman K.B., Richardson R.B.","36646825100;8717993700;","Confronting Tradeoffs Between Agricultural Ecosystem Services and Adaptation to Climate Change in Mali",2018,"Ecological Economics","150",,,"184","193",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046099359&doi=10.1016%2fj.ecolecon.2018.04.003&partnerID=40&md5=8a9951992330d3489520b2b977580924",Article,Scopus,2-s2.0-85046099359
"Brent D.A., Ward M.B.","57193556196;7403169216;","Energy efficiency and financial literacy",2018,"Journal of Environmental Economics and Management","90",,,"181","216",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047933992&doi=10.1016%2fj.jeem.2018.05.004&partnerID=40&md5=ab55b2d8300f2f4a7c0a5ac4d7398af0",Article,Scopus,2-s2.0-85047933992
"Hediger C., Farsi M., Weber S.","57201064360;8521880800;55418447300;","Turn It Up and Open the Window: On the Rebound Effects in Residential Heating",2018,"Ecological Economics","149",,,"21","39",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043296613&doi=10.1016%2fj.ecolecon.2018.02.006&partnerID=40&md5=ba8079b77e655b39e72991d39ca1398f",Article,Scopus,2-s2.0-85043296613
"Kreye M.M., Adams D.C., Ober H.K.","56205102300;26533764200;6506692582;","Protecting Imperiled Wildlife Species on Private Lands: Forest Owner Values and Response to Government Interventions",2018,"Ecological Economics","149",,,"254","264",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044719883&doi=10.1016%2fj.ecolecon.2018.03.016&partnerID=40&md5=f56fbe1d0256f62eb0d04c749e3b08d2",Article,Scopus,2-s2.0-85044719883
